"","site_no","station_nm","huc_cd","site_tp_cd","dec_lat_va","dec_long_va","parm_cd_D","data_type_cd_D","stat_cd_D","srs_id_D","begin_date_D","end_date_D","count_nu_D","parm_cd_N","data_type_cd_N","stat_cd_N","srs_id_N","begin_date_N","end_date_N","count_nu_N","parm_cd_P","data_type_cd_P","stat_cd_P","srs_id_P","begin_date_P","end_date_P","count_nu_P"
"60","06810000","Nishnabotna River above Hamburg, IA","10240004","ST",40.60166667,-95.645,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1979-04-04,2014-09-16,212,"00665","qw",NA,153049,1969-07-30,2014-09-16,228
"61","06811500","Little Nemaha River at Auburn, Nebr.","10240006","ST",40.39277778,-95.8127778,"00060","dv","00003",1645423,1949-09-01,2019-10-30,25623,"00600","qw",NA,52450988,1973-03-08,1989-09-20,200,"00665","qw",NA,153049,1973-03-08,1989-09-20,201
"62","06811500","Little Nemaha River at Auburn, Nebr.","10240006","ST",40.39277778,-95.8127778,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1973-03-08,1989-09-20,200,"00665","qw",NA,153049,1973-03-08,1989-09-20,201
"63","06815000","Big Nemaha River at Falls City, Nebr.","10240008","ST",40.0355577,-95.5960957,"00060","dv","00003",1645423,1944-04-01,2019-10-30,27600,"00600","qw",NA,52450988,1973-03-08,1989-09-20,203,"00665","qw",NA,153049,1973-03-08,1989-09-20,202
"64","06815000","Big Nemaha River at Falls City, Nebr.","10240008","ST",40.0355577,-95.5960957,"00060","uv",NA,1645423,1991-05-05,2019-10-31,10406,"00600","qw",NA,52450988,1973-03-08,1989-09-20,203,"00665","qw",NA,153049,1973-03-08,1989-09-20,202
"65","06817700","Nodaway River near Graham, MO","10240010","ST",40.2024722,-95.0695556,"00060","dv","00003",1645423,1982-10-22,2019-10-30,13523,"00600","qw",NA,52450988,1992-11-10,2019-10-02,196,"00665","qw",NA,153049,1992-11-10,2019-10-02,197
"66","06817700","Nodaway River near Graham, MO","10240010","ST",40.2024722,-95.0695556,"00060","uv",NA,1645423,1995-02-08,2019-10-31,9031,"00600","qw",NA,52450988,1992-11-10,2019-10-02,196,"00665","qw",NA,153049,1992-11-10,2019-10-02,197
"67","06818000","Missouri River at St. Joseph, MO","10240011","ST",39.75325,-94.8568333,"00060","dv","00003",1645423,1928-10-01,2019-10-30,33265,"00600","qw",NA,52450988,1973-07-17,2019-09-24,512,"00665","qw",NA,153049,1969-11-19,2019-09-24,561
"68","06818000","Missouri River at St. Joseph, MO","10240011","ST",39.75325,-94.8568333,"00060","qw",NA,1645423,1950-07-31,2013-12-03,1209,"00600","qw",NA,52450988,1973-07-17,2019-09-24,512,"00665","qw",NA,153049,1969-11-19,2019-09-24,561
"69","06818000","Missouri River at St. Joseph, MO","10240011","ST",39.75325,-94.8568333,"00060","uv",NA,1645423,1987-10-01,2019-10-31,11718,"00600","qw",NA,52450988,1973-07-17,2019-09-24,512,"00665","qw",NA,153049,1969-11-19,2019-09-24,561
"70","06821190","Platte River at Sharps Station, MO","10240012","ST",39.4009722,-94.7268333,"00060","dv","00003",1645423,1978-12-01,2019-10-30,14944,"00600","qw",NA,52450988,1979-03-20,2019-10-01,202,"00665","qw",NA,153049,1979-03-20,2019-10-01,202
"71","06821190","Platte River at Sharps Station, MO","10240012","ST",39.4009722,-94.7268333,"00060","uv",NA,1645423,1994-10-01,2019-10-31,9161,"00600","qw",NA,52450988,1979-03-20,2019-10-01,202,"00665","qw",NA,153049,1979-03-20,2019-10-01,202
"72","06824500","Republican River at Benkelman, Nebr.","10250002","ST",40.03444444,-101.5427778,"00060","dv","00003",1645423,1947-01-01,2019-10-30,19481,"00600","qw",NA,52450988,1973-05-29,1989-09-07,105,"00665","qw",NA,153049,1970-12-16,1989-09-07,108
"73","06824500","Republican River at Benkelman, Nebr.","10250002","ST",40.03444444,-101.5427778,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1973-05-29,1989-09-07,105,"00665","qw",NA,153049,1970-12-16,1989-09-07,108
"74","06844500","Republican River near Orleans, Nebr.","10250009","ST",40.13166667,-99.5025,"00060","dv","00003",1645423,1947-10-01,2019-10-30,26328,"00600","qw",NA,52450988,1973-03-21,1989-08-28,190,"00665","qw",NA,153049,1970-03-13,1989-08-28,192
"75","06844500","Republican River near Orleans, Nebr.","10250009","ST",40.13166667,-99.5025,"00060","uv",NA,1645423,1990-12-05,2019-10-31,10557,"00600","qw",NA,52450988,1973-03-21,1989-08-28,190,"00665","qw",NA,153049,1970-03-13,1989-08-28,192
"76","06853000","REPUBLICAN RIVER NEAR GUIDE ROCK, NEBR.","10250016","ST",40.06888889,-98.3736111,"00060","dv","00003",1645423,1950-09-01,1984-09-30,12449,"00600","qw",NA,52450988,1973-03-21,1985-09-04,148,"00665","qw",NA,153049,1971-10-06,1985-09-04,196
"77","06853000","REPUBLICAN RIVER NEAR GUIDE ROCK, NEBR.","10250016","ST",40.06888889,-98.3736111,"00060","qw",NA,1645423,1961-11-21,1978-01-17,169,"00600","qw",NA,52450988,1973-03-21,1985-09-04,148,"00665","qw",NA,153049,1971-10-06,1985-09-04,196
"78","06856600","REPUBLICAN R AT CLAY CENTER, KS","10250017","ST",39.3555515,-97.1275203,"00060","dv","00003",1645423,1917-06-01,2019-10-30,37407,"00600","qw",NA,52450988,1973-02-22,2019-10-03,187,"00665","qw",NA,153049,1973-01-16,2019-10-03,196
"79","06856600","REPUBLICAN R AT CLAY CENTER, KS","10250017","ST",39.3555515,-97.1275203,"00060","qw",NA,1645423,1949-03-09,1968-11-20,163,"00600","qw",NA,52450988,1973-02-22,2019-10-03,187,"00665","qw",NA,153049,1973-01-16,2019-10-03,196
"80","06856600","REPUBLICAN R AT CLAY CENTER, KS","10250017","ST",39.3555515,-97.1275203,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1973-02-22,2019-10-03,187,"00665","qw",NA,153049,1973-01-16,2019-10-03,196
"81","06877600","SMOKY HILL R AT ENTERPRISE, KS","10260008","ST",38.90638906,-97.1177952,"00060","dv","00003",1645423,1934-10-01,2019-10-30,31076,"00600","qw",NA,52450988,1974-03-12,1995-07-18,152,"00665","qw",NA,153049,1971-10-06,1995-07-18,229
"82","06877600","SMOKY HILL R AT ENTERPRISE, KS","10260008","ST",38.90638906,-97.1177952,"00060","qw",NA,1645423,1922-11-02,1972-11-08,674,"00600","qw",NA,52450988,1974-03-12,1995-07-18,152,"00665","qw",NA,153049,1971-10-06,1995-07-18,229
"83","06877600","SMOKY HILL R AT ENTERPRISE, KS","10260008","ST",38.90638906,-97.1177952,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1974-03-12,1995-07-18,152,"00665","qw",NA,153049,1971-10-06,1995-07-18,229
"84","06872500","NF SOLOMON R AT PORTIS, KS","10260012","ST",39.55501079,-98.6922942,"00060","dv","00003",1645423,1945-09-17,2019-10-30,27029,"00600","qw",NA,52450988,1977-11-01,1992-10-21,84,"00665","qw",NA,153049,1971-11-09,1996-12-10,151
"85","06872500","NF SOLOMON R AT PORTIS, KS","10260012","ST",39.55501079,-98.6922942,"00060","qw",NA,1645423,1958-05-21,1972-07-18,134,"00600","qw",NA,52450988,1977-11-01,1992-10-21,84,"00665","qw",NA,153049,1971-11-09,1996-12-10,151
